gene,classification
RN7SL30P,pseudogene
RN7SL310P,pseudogene
RN7SL311P,pseudogene
RN7SL313P,pseudogene
RN7SL314P,pseudogene
RN7SL316P,pseudogene
RN7SL317P,pseudogene
RN7SL318P,pseudogene
RN7SL319P,pseudogene
RN7SL320P,pseudogene
RN7SL321P,pseudogene
RN7SL322P,pseudogene
RN7SL323P,pseudogene
RN7SL325P,pseudogene
RN7SL326P,pseudogene
RN7SL327P,pseudogene
RN7SL328P,pseudogene
RN7SL329P,pseudogene
RN7SL32P,pseudogene
RN7SL330P,pseudogene
RN7SL331P,pseudogene
RN7SL332P,pseudogene
RN7SL333P,pseudogene
RN7SL334P,pseudogene
RN7SL335P,pseudogene
RN7SL336P,pseudogene
RN7SL337P,pseudogene
RN7SL338P,pseudogene
RN7SL339P,pseudogene
RN7SL33P,pseudogene
RN7SL340P,pseudogene
RN7SL341P,pseudogene
RN7SL342P,pseudogene
RN7SL343P,pseudogene
RN7SL344P,pseudogene
RN7SL346P,pseudogene
RN7SL34P,pseudogene
RN7SL350P,pseudogene
RN7SL351P,pseudogene
RN7SL352P,pseudogene
RN7SL353P,pseudogene
RN7SL354P,pseudogene
RN7SL356P,pseudogene
RN7SL357P,pseudogene
RN7SL359P,pseudogene
RN7SL35P,pseudogene
RN7SL361P,pseudogene
RN7SL362P,pseudogene
RN7SL363P,pseudogene
RN7SL364P,pseudogene
RN7SL366P,pseudogene
RN7SL368P,pseudogene
RN7SL369P,pseudogene
RN7SL36P,pseudogene
RN7SL370P,pseudogene
RN7SL371P,pseudogene
RN7SL372P,pseudogene
RN7SL375P,pseudogene
RN7SL376P,pseudogene
RN7SL377P,pseudogene
RN7SL378P,pseudogene
RN7SL379P,pseudogene
RN7SL37P,pseudogene
RN7SL380P,pseudogene
RN7SL381P,pseudogene
RN7SL382P,pseudogene
RN7SL383P,pseudogene
RN7SL384P,pseudogene
RN7SL385P,pseudogene
RN7SL386P,pseudogene
RN7SL387P,pseudogene
RN7SL388P,pseudogene
RN7SL38P,pseudogene
RN7SL390P,pseudogene
RN7SL391P,pseudogene
RN7SL392P,pseudogene
RN7SL393P,pseudogene
RN7SL394P,pseudogene
RN7SL395P,pseudogene
RN7SL396P,pseudogene
RN7SL397P,pseudogene
RN7SL398P,pseudogene
RN7SL399P,pseudogene
RN7SL39P,pseudogene
RN7SL400P,pseudogene
RN7SL401P,pseudogene
RN7SL402P,pseudogene
RN7SL403P,pseudogene
RN7SL404P,pseudogene
RN7SL405P,pseudogene
RN7SL408P,pseudogene
RN7SL40P,pseudogene
RN7SL411P,pseudogene
RN7SL413P,pseudogene
RN7SL414P,pseudogene
RN7SL415P,pseudogene
RN7SL416P,pseudogene
RN7SL417P,pseudogene
RN7SL418P,pseudogene
RN7SL419P,pseudogene
RN7SL41P,pseudogene
RN7SL420P,pseudogene
RN7SL422P,pseudogene
RN7SL423P,pseudogene
RN7SL424P,pseudogene
RN7SL426P,pseudogene
RN7SL428P,pseudogene
RN7SL429P,pseudogene
RN7SL42P,pseudogene
RN7SL430P,pseudogene
RN7SL431P,pseudogene
RN7SL432P,pseudogene
RN7SL434P,pseudogene
RN7SL435P,pseudogene
RN7SL43P,pseudogene
RN7SL440P,pseudogene
RN7SL441P,pseudogene
RN7SL442P,pseudogene
RN7SL443P,pseudogene
RN7SL444P,pseudogene
RN7SL445P,pseudogene
RN7SL446P,pseudogene
RN7SL447P,pseudogene
RN7SL448P,pseudogene
RN7SL449P,pseudogene
RN7SL44P,pseudogene
RN7SL451P,pseudogene
RN7SL452P,pseudogene
RN7SL453P,pseudogene
RN7SL454P,pseudogene
RN7SL455P,pseudogene
RN7SL456P,pseudogene
RN7SL457P,pseudogene
RN7SL459P,pseudogene
RN7SL45P,pseudogene
RN7SL460P,pseudogene
RN7SL461P,pseudogene
RN7SL462P,pseudogene
RN7SL464P,pseudogene
RN7SL465P,pseudogene
RN7SL466P,pseudogene
RN7SL468P,pseudogene
RN7SL469P,pseudogene
RN7SL470P,pseudogene
RN7SL471P,pseudogene
RN7SL472P,pseudogene
RN7SL473P,pseudogene
RN7SL474P,pseudogene
RN7SL475P,pseudogene
RN7SL477P,pseudogene
RN7SL478P,pseudogene
RN7SL479P,pseudogene
RN7SL47P,pseudogene
RN7SL480P,pseudogene
RN7SL481P,pseudogene
RN7SL482P,pseudogene
RN7SL483P,pseudogene
RN7SL484P,pseudogene
RN7SL487P,pseudogene
RN7SL488P,pseudogene
RN7SL489P,pseudogene
RN7SL48P,pseudogene
RN7SL491P,pseudogene
RN7SL492P,pseudogene
RN7SL493P,pseudogene
RN7SL494P,pseudogene
RN7SL495P,pseudogene
RN7SL496P,pseudogene
RN7SL497P,pseudogene
RN7SL498P,pseudogene
RN7SL499P,pseudogene
RN7SL49P,pseudogene
RN7SL4P,pseudogene
RN7SL502P,pseudogene
RN7SL503P,pseudogene
RN7SL504P,pseudogene
RN7SL505P,pseudogene
RN7SL507P,pseudogene
RN7SL508P,pseudogene
RN7SL509P,pseudogene
RN7SL50P,pseudogene
RN7SL510P,pseudogene
RN7SL513P,pseudogene
RN7SL515P,pseudogene
RN7SL516P,pseudogene
RN7SL517P,pseudogene
RN7SL518P,pseudogene
RN7SL519P,pseudogene
RN7SL51P,pseudogene
RN7SL520P,pseudogene
RN7SL521P,pseudogene
RN7SL523P,pseudogene
RN7SL524P,pseudogene
RN7SL525P,pseudogene
RN7SL526P,pseudogene
RN7SL52P,pseudogene
RN7SL530P,pseudogene
RN7SL531P,pseudogene
RN7SL535P,pseudogene
RN7SL536P,pseudogene
RN7SL538P,pseudogene
RN7SL539P,pseudogene
RN7SL541P,pseudogene
RN7SL542P,pseudogene
RN7SL543P,pseudogene
RN7SL544P,pseudogene
RN7SL545P,pseudogene
RN7SL546P,pseudogene
RN7SL547P,pseudogene
RN7SL549P,pseudogene
RN7SL551P,pseudogene
RN7SL552P,pseudogene
RN7SL553P,pseudogene
RN7SL554P,pseudogene
RN7SL555P,pseudogene
RN7SL556P,pseudogene
RN7SL557P,pseudogene
RN7SL558P,pseudogene
RN7SL559P,pseudogene
RN7SL55P,pseudogene
RN7SL560P,pseudogene
RN7SL561P,pseudogene
RN7SL563P,pseudogene
RN7SL564P,pseudogene
RN7SL565P,pseudogene
RN7SL566P,pseudogene
RN7SL567P,pseudogene
RN7SL568P,pseudogene
RN7SL569P,pseudogene
RN7SL570P,pseudogene
RN7SL571P,pseudogene
RN7SL573P,pseudogene
RN7SL574P,pseudogene
RN7SL575P,pseudogene
RN7SL577P,pseudogene
RN7SL578P,pseudogene
RN7SL57P,pseudogene
RN7SL580P,pseudogene
RN7SL581P,pseudogene
RN7SL582P,pseudogene
RN7SL583P,pseudogene
RN7SL584P,pseudogene
RN7SL585P,pseudogene
RN7SL586P,pseudogene
RN7SL587P,pseudogene
RN7SL589P,pseudogene
RN7SL58P,pseudogene
RN7SL591P,pseudogene
RN7SL592P,pseudogene
RN7SL594P,pseudogene
RN7SL596P,pseudogene
RN7SL597P,pseudogene
RN7SL598P,pseudogene
RN7SL5P,pseudogene
RN7SL600P,pseudogene
RN7SL601P,pseudogene
RN7SL602P,pseudogene
RN7SL604P,pseudogene
RN7SL605P,pseudogene
RN7SL606P,pseudogene
RN7SL607P,pseudogene
RN7SL608P,pseudogene
RN7SL60P,pseudogene
RN7SL610P,pseudogene
RN7SL612P,pseudogene
RN7SL614P,pseudogene
RN7SL615P,pseudogene
RN7SL616P,pseudogene
RN7SL617P,pseudogene
RN7SL618P,pseudogene
RN7SL619P,pseudogene
RN7SL620P,pseudogene
RN7SL621P,pseudogene
RN7SL622P,pseudogene
RN7SL623P,pseudogene
RN7SL624P,pseudogene
RN7SL625P,pseudogene
RN7SL627P,pseudogene
RN7SL628P,pseudogene
RN7SL629P,pseudogene
RN7SL62P,pseudogene
RN7SL630P,pseudogene
RN7SL632P,pseudogene
RN7SL633P,pseudogene
RN7SL634P,pseudogene
RN7SL635P,pseudogene
RN7SL636P,pseudogene
RN7SL638P,pseudogene
RN7SL63P,pseudogene
RN7SL640P,pseudogene
RN7SL643P,pseudogene
RN7SL644P,pseudogene
RN7SL645P,pseudogene
RN7SL646P,pseudogene
RN7SL647P,pseudogene
RN7SL648P,pseudogene
RN7SL649P,pseudogene
RN7SL650P,pseudogene
RN7SL652P,pseudogene
RN7SL653P,pseudogene
RN7SL654P,pseudogene
RN7SL655P,pseudogene
RN7SL656P,pseudogene
RN7SL657P,pseudogene
RN7SL658P,pseudogene
RN7SL659P,pseudogene
RN7SL65P,pseudogene
RN7SL660P,pseudogene
RN7SL663P,pseudogene
RN7SL664P,pseudogene
RN7SL665P,pseudogene
RN7SL666P,pseudogene
RN7SL667P,pseudogene
RN7SL668P,pseudogene
RN7SL66P,pseudogene
RN7SL670P,pseudogene
RN7SL672P,pseudogene
RN7SL673P,pseudogene
RN7SL674P,pseudogene
RN7SL675P,pseudogene
RN7SL677P,pseudogene
RN7SL678P,pseudogene
RN7SL679P,pseudogene
RN7SL67P,pseudogene
RN7SL680P,pseudogene
RN7SL681P,pseudogene
RN7SL683P,pseudogene
RN7SL684P,pseudogene
RN7SL685P,pseudogene
RN7SL687P,pseudogene
RN7SL688P,pseudogene
RN7SL689P,pseudogene
RN7SL68P,pseudogene
RN7SL690P,pseudogene
RN7SL691P,pseudogene
RN7SL692P,pseudogene
RN7SL693P,pseudogene
RN7SL697P,pseudogene
RN7SL698P,pseudogene
RN7SL69P,pseudogene
RN7SL700P,pseudogene
RN7SL702P,pseudogene
RN7SL703P,pseudogene
RN7SL704P,pseudogene
RN7SL705P,pseudogene
RN7SL706P,pseudogene
RN7SL708P,pseudogene
RN7SL709P,pseudogene
RN7SL70P,pseudogene
RN7SL711P,pseudogene
RN7SL712P,pseudogene
RN7SL713P,pseudogene
RN7SL714P,pseudogene
RN7SL715P,pseudogene
RN7SL716P,pseudogene
RN7SL717P,pseudogene
RN7SL718P,pseudogene
RN7SL719P,pseudogene
RN7SL720P,pseudogene
RN7SL722P,pseudogene
RN7SL724P,pseudogene
RN7SL725P,pseudogene
RN7SL726P,pseudogene
RN7SL727P,pseudogene
RN7SL728P,pseudogene
RN7SL72P,pseudogene
RN7SL731P,pseudogene
RN7SL732P,pseudogene
RN7SL733P,pseudogene
RN7SL734P,pseudogene
RN7SL735P,pseudogene
RN7SL736P,pseudogene
RN7SL737P,pseudogene
RN7SL738P,pseudogene
RN7SL73P,pseudogene
RN7SL740P,pseudogene
RN7SL741P,pseudogene
RN7SL743P,pseudogene
RN7SL744P,pseudogene
RN7SL745P,pseudogene
RN7SL748P,pseudogene
RN7SL749P,pseudogene
RN7SL74P,pseudogene
RN7SL750P,pseudogene
RN7SL751P,pseudogene
RN7SL752P,pseudogene
RN7SL753P,pseudogene
RN7SL754P,pseudogene
RN7SL756P,pseudogene
RN7SL757P,pseudogene
RN7SL759P,pseudogene
RN7SL75P,pseudogene
RN7SL760P,pseudogene
RN7SL761P,pseudogene
RN7SL762P,pseudogene
RN7SL763P,pseudogene
RN7SL764P,pseudogene
RN7SL766P,pseudogene
RN7SL767P,pseudogene
RN7SL769P,pseudogene
RN7SL76P,pseudogene
RN7SL771P,pseudogene
RN7SL774P,pseudogene
RN7SL775P,pseudogene
RN7SL776P,pseudogene
RN7SL778P,pseudogene
RN7SL77P,pseudogene
RN7SL782P,pseudogene
RN7SL783P,pseudogene
RN7SL784P,pseudogene
RN7SL785P,pseudogene
RN7SL786P,pseudogene
RN7SL787P,pseudogene
RN7SL788P,pseudogene
RN7SL789P,pseudogene
RN7SL78P,pseudogene
RN7SL790P,pseudogene
RN7SL791P,pseudogene
RN7SL792P,pseudogene
RN7SL793P,pseudogene
RN7SL794P,pseudogene
RN7SL795P,pseudogene
RN7SL796P,pseudogene
RN7SL797P,pseudogene
RN7SL798P,pseudogene
RN7SL799P,pseudogene
RN7SL79P,pseudogene
RN7SL7P,pseudogene
RN7SL800P,pseudogene
RN7SL801P,pseudogene
RN7SL802P,pseudogene
RN7SL803P,pseudogene
RN7SL804P,pseudogene
RN7SL806P,pseudogene
RN7SL807P,pseudogene
RN7SL808P,pseudogene
RN7SL809P,pseudogene
RN7SL810P,pseudogene
RN7SL811P,pseudogene
RN7SL812P,pseudogene
RN7SL813P,pseudogene
RN7SL814P,pseudogene
RN7SL815P,pseudogene
RN7SL817P,pseudogene
RN7SL818P,pseudogene
RN7SL819P,pseudogene
RN7SL81P,pseudogene
RN7SL820P,pseudogene
RN7SL822P,pseudogene
RN7SL823P,pseudogene
RN7SL824P,pseudogene
RN7SL825P,pseudogene
RN7SL826P,pseudogene
RN7SL827P,pseudogene
RN7SL828P,pseudogene
RN7SL82P,pseudogene
RN7SL831P,pseudogene
RN7SL832P,pseudogene
RN7SL833P,pseudogene
RN7SL834P,pseudogene
RN7SL835P,pseudogene
RN7SL836P,pseudogene
RN7SL837P,pseudogene
RN7SL838P,pseudogene
RN7SL83P,pseudogene
RN7SL840P,pseudogene
RN7SL841P,pseudogene
RN7SL842P,pseudogene
RN7SL843P,pseudogene
RN7SL845P,pseudogene
RN7SL846P,pseudogene
RN7SL847P,pseudogene
RN7SL849P,pseudogene
RN7SL850P,pseudogene
RN7SL851P,pseudogene
RN7SL853P,pseudogene
RN7SL854P,pseudogene
RN7SL856P,pseudogene
RN7SL860P,pseudogene
RN7SL861P,pseudogene
RN7SL862P,pseudogene
RN7SL863P,pseudogene
RN7SL864P,pseudogene
RN7SL865P,pseudogene
RN7SL868P,pseudogene
RN7SL869P,pseudogene
RN7SL870P,pseudogene
RN7SL87P,pseudogene
RN7SL88P,pseudogene
RN7SL89P,pseudogene
RN7SL8P,pseudogene
RN7SL91P,pseudogene
RN7SL93P,pseudogene
RN7SL96P,pseudogene
RN7SL97P,pseudogene
RN7SL98P,pseudogene
RNA5-8SN1,other
RNA5-8SN2,other
RNA5-8SN3,other
RNA5-8SP2,pseudogene
RNA5-8SP4,pseudogene
RNA5-8SP5,pseudogene
RNA5-8SP6,pseudogene
RNA5-8SP7,pseudogene
RNA5S1,other
RNA5S10,other
RNA5S11,other
RNA5S12,other
RNA5S13,other
RNA5S14,other
RNA5S15,other
RNA5S16,other
RNA5S17,other
RNA5S2,other
RNA5S3,other
RNA5S4,other
RNA5S5,other
RNA5S6,other
RNA5S7,other
RNA5S8,other
RNA5S9,other
RNA5SP100,pseudogene
RNA5SP101,pseudogene
RNA5SP102,pseudogene
RNA5SP103,pseudogene
RNA5SP104,pseudogene
RNA5SP105,pseudogene
RNA5SP106,pseudogene
RNA5SP107,pseudogene
RNA5SP108,pseudogene
RNA5SP109,pseudogene
RNA5SP110,pseudogene
RNA5SP111,pseudogene
RNA5SP112,pseudogene
RNA5SP113,pseudogene
RNA5SP114,pseudogene
RNA5SP115,pseudogene
RNA5SP116,pseudogene
RNA5SP117,pseudogene
RNA5SP118,pseudogene
RNA5SP119,pseudogene
RNA5SP120,pseudogene
RNA5SP121,pseudogene
RNA5SP122,pseudogene
RNA5SP123,pseudogene
RNA5SP124,pseudogene
RNA5SP125,pseudogene
RNA5SP126,pseudogene
RNA5SP127,pseudogene
RNA5SP128,pseudogene
RNA5SP129,pseudogene
RNA5SP130,pseudogene
RNA5SP131,pseudogene
RNA5SP132,pseudogene
RNA5SP133,pseudogene
RNA5SP134,pseudogene
RNA5SP135,pseudogene
RNA5SP136,pseudogene
RNA5SP137,pseudogene
RNA5SP138,pseudogene
RNA5SP139,pseudogene
RNA5SP140,pseudogene
RNA5SP141,pseudogene
RNA5SP142,pseudogene
RNA5SP143,pseudogene
RNA5SP144,pseudogene
RNA5SP145,pseudogene
RNA5SP146,pseudogene
RNA5SP147,pseudogene
RNA5SP148,pseudogene
RNA5SP149,pseudogene
RNA5SP150,pseudogene
RNA5SP151,pseudogene
RNA5SP152,pseudogene
RNA5SP153,pseudogene
RNA5SP154,pseudogene
RNA5SP155,pseudogene
RNA5SP156,pseudogene
RNA5SP158,pseudogene
RNA5SP159,pseudogene
RNA5SP160,pseudogene
RNA5SP161,pseudogene
RNA5SP163,pseudogene
RNA5SP164,pseudogene
RNA5SP165,pseudogene
RNA5SP166,pseudogene
RNA5SP167,pseudogene
RNA5SP168,pseudogene
RNA5SP169,pseudogene
RNA5SP170,pseudogene
RNA5SP171,pseudogene
RNA5SP172,pseudogene
RNA5SP173,pseudogene
RNA5SP174,pseudogene
RNA5SP175,pseudogene
RNA5SP176,pseudogene
RNA5SP177,pseudogene
RNA5SP178,pseudogene
RNA5SP179,pseudogene
RNA5SP18,pseudogene
RNA5SP180,pseudogene
RNA5SP181,pseudogene
RNA5SP182,pseudogene
RNA5SP183,pseudogene
RNA5SP184,pseudogene
RNA5SP185,pseudogene
RNA5SP186,pseudogene
RNA5SP187,pseudogene
RNA5SP188,pseudogene
RNA5SP189,pseudogene
RNA5SP19,pseudogene
RNA5SP190,pseudogene
RNA5SP191,pseudogene
RNA5SP192,pseudogene
RNA5SP193,pseudogene
RNA5SP194,pseudogene
RNA5SP195,pseudogene
RNA5SP196,pseudogene
RNA5SP197,pseudogene
RNA5SP198,pseudogene
RNA5SP199,pseudogene
RNA5SP20,pseudogene
RNA5SP200,pseudogene
RNA5SP201,pseudogene
RNA5SP202,pseudogene
RNA5SP203,pseudogene
RNA5SP204,pseudogene
RNA5SP205,pseudogene
RNA5SP206,pseudogene
RNA5SP207,pseudogene
RNA5SP208,pseudogene
RNA5SP209,pseudogene
RNA5SP21,pseudogene
RNA5SP210,pseudogene
RNA5SP211,pseudogene
RNA5SP212,pseudogene
RNA5SP213,pseudogene
RNA5SP214,pseudogene
RNA5SP215,pseudogene
RNA5SP216,pseudogene
RNA5SP217,pseudogene
RNA5SP218,pseudogene
RNA5SP219,pseudogene
RNA5SP22,pseudogene
RNA5SP220,pseudogene
RNA5SP221,pseudogene
RNA5SP222,pseudogene
RNA5SP223,pseudogene
RNA5SP224,pseudogene
RNA5SP225,pseudogene
RNA5SP226,pseudogene
RNA5SP227,pseudogene
RNA5SP228,pseudogene
RNA5SP229,pseudogene
RNA5SP23,pseudogene
RNA5SP230,pseudogene
RNA5SP231,pseudogene
RNA5SP232,pseudogene
RNA5SP233,pseudogene
RNA5SP234,pseudogene
RNA5SP235,pseudogene
RNA5SP236,pseudogene
RNA5SP237,pseudogene
RNA5SP238,pseudogene
RNA5SP239,pseudogene
RNA5SP24,pseudogene
RNA5SP240,pseudogene
RNA5SP241,pseudogene
RNA5SP242,pseudogene
RNA5SP244,pseudogene
RNA5SP245,pseudogene
RNA5SP246,pseudogene
RNA5SP247,pseudogene
RNA5SP248,pseudogene
RNA5SP249,pseudogene
RNA5SP25,pseudogene
RNA5SP250,pseudogene
RNA5SP251,pseudogene
RNA5SP252,pseudogene
RNA5SP255,pseudogene
RNA5SP256,pseudogene
RNA5SP257,pseudogene
RNA5SP258,pseudogene
RNA5SP259,pseudogene
RNA5SP26,pseudogene
RNA5SP260,pseudogene
RNA5SP261,pseudogene
RNA5SP262,pseudogene
RNA5SP263,pseudogene
RNA5SP264,pseudogene
RNA5SP265,pseudogene
RNA5SP266,pseudogene
RNA5SP267,pseudogene
RNA5SP268,pseudogene
RNA5SP269,pseudogene
RNA5SP27,pseudogene
RNA5SP270,pseudogene
RNA5SP271,pseudogene
RNA5SP272,pseudogene
RNA5SP273,pseudogene
RNA5SP274,pseudogene
RNA5SP275,pseudogene
RNA5SP276,pseudogene
RNA5SP277,pseudogene
RNA5SP278,pseudogene
RNA5SP279,pseudogene
RNA5SP28,pseudogene
RNA5SP280,pseudogene
RNA5SP281,pseudogene
RNA5SP282,pseudogene
RNA5SP283,pseudogene
RNA5SP284,pseudogene
RNA5SP285,pseudogene
RNA5SP286,pseudogene
RNA5SP287,pseudogene
RNA5SP288,pseudogene
RNA5SP289,pseudogene
RNA5SP29,pseudogene
RNA5SP290,pseudogene
RNA5SP291,pseudogene
RNA5SP292,pseudogene
RNA5SP293,pseudogene
RNA5SP294,pseudogene
RNA5SP295,pseudogene
RNA5SP296,pseudogene
RNA5SP297,pseudogene
RNA5SP298,pseudogene
RNA5SP299,pseudogene
RNA5SP30,pseudogene
RNA5SP300,pseudogene
RNA5SP301,pseudogene
RNA5SP302,pseudogene
RNA5SP303,pseudogene
RNA5SP304,pseudogene
RNA5SP305,pseudogene
RNA5SP306,pseudogene
RNA5SP307,pseudogene
RNA5SP308,pseudogene
RNA5SP309,pseudogene
RNA5SP31,pseudogene
RNA5SP310,pseudogene
RNA5SP311,pseudogene
RNA5SP312,pseudogene
RNA5SP315,pseudogene
RNA5SP317,pseudogene
RNA5SP318,pseudogene
RNA5SP319,pseudogene
RNA5SP320,pseudogene
RNA5SP321,pseudogene
RNA5SP322,pseudogene
RNA5SP323,pseudogene
RNA5SP324,pseudogene
RNA5SP325,pseudogene
RNA5SP326,pseudogene
RNA5SP327,pseudogene
RNA5SP328,pseudogene
RNA5SP329,pseudogene
RNA5SP33,pseudogene
RNA5SP330,pseudogene
RNA5SP331,pseudogene
RNA5SP332,pseudogene
RNA5SP333,pseudogene
RNA5SP334,pseudogene
RNA5SP335,pseudogene
RNA5SP336,pseudogene
RNA5SP337,pseudogene
RNA5SP338,pseudogene
RNA5SP339,pseudogene
RNA5SP34,pseudogene
RNA5SP340,pseudogene
RNA5SP341,pseudogene
RNA5SP343,pseudogene
RNA5SP344,pseudogene
RNA5SP345,pseudogene
RNA5SP346,pseudogene
RNA5SP347,pseudogene
RNA5SP349,pseudogene
RNA5SP35,pseudogene
RNA5SP350,pseudogene
RNA5SP351,pseudogene
RNA5SP352,pseudogene
RNA5SP353,pseudogene
RNA5SP354,pseudogene
RNA5SP355,pseudogene
RNA5SP356,pseudogene
RNA5SP357,pseudogene
RNA5SP358,pseudogene
RNA5SP359,pseudogene
RNA5SP36,pseudogene
RNA5SP360,pseudogene
RNA5SP361,pseudogene
RNA5SP362,pseudogene
RNA5SP363,pseudogene
RNA5SP364,pseudogene
RNA5SP365,pseudogene
RNA5SP366,pseudogene
RNA5SP367,pseudogene
RNA5SP368,pseudogene
RNA5SP369,pseudogene
RNA5SP37,pseudogene
RNA5SP370,pseudogene
RNA5SP371,pseudogene
RNA5SP372,pseudogene
RNA5SP373,pseudogene
RNA5SP374,pseudogene
RNA5SP375,pseudogene
RNA5SP376,pseudogene
RNA5SP377,pseudogene
RNA5SP378,pseudogene
RNA5SP379,pseudogene
RNA5SP38,pseudogene
RNA5SP380,pseudogene
RNA5SP382,pseudogene
RNA5SP383,pseudogene
RNA5SP384,pseudogene
RNA5SP385,pseudogene
RNA5SP386,pseudogene
RNA5SP387,pseudogene
RNA5SP388,pseudogene
RNA5SP389,pseudogene
RNA5SP39,pseudogene
RNA5SP390,pseudogene
RNA5SP391,pseudogene
RNA5SP392,pseudogene
RNA5SP393,pseudogene
RNA5SP394,pseudogene
RNA5SP395,pseudogene
RNA5SP396,pseudogene
RNA5SP397,pseudogene
RNA5SP399,pseudogene
RNA5SP40,pseudogene
RNA5SP400,pseudogene
RNA5SP401,pseudogene
RNA5SP402,pseudogene
RNA5SP403,pseudogene
RNA5SP404,pseudogene
RNA5SP405,pseudogene
RNA5SP406,pseudogene
RNA5SP407,pseudogene
RNA5SP408,pseudogene
RNA5SP409,pseudogene
RNA5SP41,pseudogene
RNA5SP410,pseudogene
RNA5SP411,pseudogene
RNA5SP412,pseudogene
RNA5SP413,pseudogene
RNA5SP414,pseudogene
RNA5SP415,pseudogene
RNA5SP416,pseudogene
RNA5SP417,pseudogene
RNA5SP418,pseudogene
RNA5SP419,pseudogene
RNA5SP42,pseudogene
RNA5SP420,pseudogene
RNA5SP421,pseudogene
RNA5SP422,pseudogene
RNA5SP423,pseudogene
RNA5SP425,pseudogene
RNA5SP426,pseudogene
RNA5SP427,pseudogene
RNA5SP428,pseudogene
RNA5SP429,pseudogene
RNA5SP43,pseudogene
RNA5SP430,pseudogene
RNA5SP431,pseudogene
RNA5SP432,pseudogene
RNA5SP433,pseudogene
RNA5SP434,pseudogene
RNA5SP435,pseudogene
RNA5SP436,pseudogene
RNA5SP437,pseudogene
RNA5SP438,pseudogene
RNA5SP439,pseudogene
RNA5SP44,pseudogene
RNA5SP440,pseudogene
RNA5SP441,pseudogene
RNA5SP442,pseudogene
RNA5SP443,pseudogene
RNA5SP444,pseudogene
RNA5SP445,pseudogene
RNA5SP446,pseudogene
RNA5SP447,pseudogene
RNA5SP448,pseudogene
RNA5SP449,pseudogene
RNA5SP45,pseudogene
RNA5SP450,pseudogene
RNA5SP451,pseudogene
RNA5SP452,pseudogene
RNA5SP453,pseudogene
RNA5SP454,pseudogene
RNA5SP455,pseudogene
RNA5SP456,pseudogene
RNA5SP457,pseudogene
RNA5SP458,pseudogene
RNA5SP459,pseudogene
RNA5SP46,pseudogene
RNA5SP460,pseudogene
RNA5SP461,pseudogene
RNA5SP462,pseudogene
RNA5SP463,pseudogene
RNA5SP464,pseudogene
RNA5SP465,pseudogene
RNA5SP466,pseudogene
RNA5SP467,pseudogene
RNA5SP468,pseudogene
RNA5SP469,pseudogene
RNA5SP47,pseudogene
RNA5SP470,pseudogene
RNA5SP471,pseudogene
RNA5SP472,pseudogene
RNA5SP473,pseudogene
RNA5SP474,pseudogene
RNA5SP475,pseudogene
RNA5SP476,pseudogene
RNA5SP477,pseudogene
RNA5SP478,pseudogene
RNA5SP479,pseudogene
RNA5SP48,pseudogene
RNA5SP480,pseudogene
RNA5SP481,pseudogene
RNA5SP482,pseudogene
RNA5SP483,pseudogene
RNA5SP484,pseudogene
RNA5SP485,pseudogene
RNA5SP486,pseudogene
RNA5SP487,pseudogene
RNA5SP488,pseudogene
RNA5SP489,pseudogene
RNA5SP49,pseudogene
RNA5SP490,pseudogene
RNA5SP491,pseudogene
RNA5SP492,pseudogene
RNA5SP493,pseudogene
RNA5SP494,pseudogene
RNA5SP495,pseudogene
RNA5SP496,pseudogene
RNA5SP497,pseudogene
RNA5SP498,pseudogene
RNA5SP499,pseudogene
RNA5SP50,pseudogene
RNA5SP500,pseudogene
RNA5SP501,pseudogene
RNA5SP502,pseudogene
RNA5SP503,pseudogene
RNA5SP504,pseudogene
RNA5SP505,pseudogene
RNA5SP506,pseudogene
RNA5SP507,pseudogene
RNA5SP508,pseudogene
RNA5SP509,pseudogene
RNA5SP51,pseudogene
RNA5SP510,pseudogene
RNA5SP511,pseudogene
RNA5SP512,pseudogene
RNA5SP513,pseudogene
RNA5SP514,pseudogene
RNA5SP515,pseudogene
RNA5SP516,pseudogene
RNA5SP517,pseudogene
RNA5SP518,pseudogene
RNA5SP519,pseudogene
RNA5SP52,pseudogene
RNA5SP520,pseudogene
RNA5SP521,pseudogene
RNA5SP522,pseudogene
RNA5SP523,pseudogene
RNA5SP524,pseudogene
RNA5SP525,pseudogene
RNA5SP526,pseudogene
RNA5SP527,pseudogene
RNA5SP528,pseudogene
RNA5SP529,pseudogene
RNA5SP53,pseudogene
RNA5SP530,pseudogene
RNA5SP531,pseudogene
RNA5SP532,pseudogene
RNA5SP533,pseudogene
RNA5SP534,pseudogene
RNA5SP535,pseudogene
RNA5SP536,pseudogene
RNA5SP54,pseudogene
RNA5SP55,pseudogene
RNA5SP56,pseudogene
RNA5SP57,pseudogene
RNA5SP59,pseudogene
RNA5SP60,pseudogene
RNA5SP61,pseudogene
RNA5SP62,pseudogene
RNA5SP63,pseudogene
RNA5SP64,pseudogene
RNA5SP65,pseudogene
RNA5SP66,pseudogene
RNA5SP67,pseudogene
RNA5SP68,pseudogene
RNA5SP69,pseudogene
RNA5SP70,pseudogene
RNA5SP71,pseudogene
RNA5SP72,pseudogene
RNA5SP73,pseudogene
RNA5SP74,pseudogene
RNA5SP75,pseudogene
RNA5SP76,pseudogene
RNA5SP77,pseudogene
RNA5SP78,pseudogene
RNA5SP79,pseudogene
